Datetime,Open,High,Low,Close,Volume,1,2,3,4,5,6
1632533700000,42238.21,42262.79,42125.00,42199.98,1440.685,1632533999999,60810737.05839,10149,496.546,20962031.69794,0
1632534000000,42199.98,42255.00,42170.07,42180.80,583.270,1632534299999,24624810.87006,7127,319.965,13509174.40543,0
1632534300000,42180.80,42372.30,42130.82,42366.05,1245.065,1632534599999,52650257.37012,11683,768.358,32493116.35373,0
1632534600000,42366.05,42437.60,42294.40,42409.31,1112.642,1632534899999,47138874.97559,9724,715.123,30301155.69950,0
1632534900000,42409.31,42441.12,42356.12,42379.81,723.353,1632535199999,30673434.38308,8164,359.132,15228832.67559,0
1632535200000,42375.84,42512.01,42375.84,42510.00,873.272,1632535499999,37079531.25628,8922,562.450,23881645.66535,0
1632535500000,42507.90,42525.00,42322.79,42367.38,921.006,1632535799999,39060357.18909,9618,349.755,14838126.67264,0
1632535800000,42367.37,42466.00,42360.13,42394.99,495.857,1632536099999,21029552.03819,5953,255.678,10843250.84192,0
1632536100000,42395.00,42534.32,42394.99,42513.40,672.778,1632536399999,28590166.66540,7503,408.809,17371650.01683,0
1632536400000,42513.39,42514.01,42457.99,42458.37,415.035,1632536699999,17631694.61522,5002,160.356,6812550.30379,0
1632536700000,42458.36,42548.95,42441.64,42492.42,490.693,1632536999999,20859999.59221,5432,287.152,12209198.53682,0
1632537000000,42492.42,42638.71,42489.12,42634.66,1011.004,1632537299999,43066401.37209,9751,660.883,28151835.28749,0
1632537300000,42634.68,42720.00,42580.32,42599.89,1260.736,1632537599999,53781008.73153,11160,791.369,33765719.68820,0
1632537600000,42599.89,42599.89,42525.76,42583.39,452.268,1632537899999,19247957.61537,5778,191.039,8130177.50519,0
1632537900000,42583.40,42586.81,42415.00,42419.99,1184.724,1632538199999,50314257.13397,9154,301.609,12807603.55937,0
1632538200000,42419.99,42466.60,42300.00,42326.71,1044.737,1632538499999,44270732.72734,10351,439.045,18611281.05405,0
1632538500000,42326.71,42400.00,42258.38,42326.25,849.444,1632538799999,35963085.93789,9462,427.160,18088017.41078,0
1632538800000,42326.24,42450.00,42321.55,42449.98,731.957,1632539099999,31028581.04868,8046,480.880,20386303.24178,0
1632539100000,42449.98,42494.13,42369.80,42372.54,545.669,1632539399999,23156849.99814,6651,280.844,11919356.81122,0
1632539400000,42372.54,42433.81,42316.55,42357.90,506.513,1632539699999,21458585.17543,6013,238.274,10096071.09873,0
1632539700000,42357.89,42491.13,42357.00,42444.99,467.851,1632539999999,19852521.66081,5180,283.671,12036298.64245,0
1632540000000,42444.99,42666.63,42444.99,42562.72,1373.460,1632540299999,58491342.45200,12386,807.776,34394889.30483,0
1632540300000,42562.71,42605.35,42462.70,42540.72,773.932,1632540599999,32916158.37831,7174,333.852,14201800.84132,0
1632540600000,42539.30,42687.19,42539.30,42680.57,742.787,1632540899999,31654731.45617,7488,483.208,20595092.06371,0
1632540900000,42680.58,42751.61,42588.16,42627.43,1016.259,1632541199999,43371634.84344,11078,516.117,22031661.35726,0
1632541200000,42627.43,42748.72,42625.40,42677.37,572.545,1632541499999,24444391.07991,7074,281.230,12006911.74158,0
1632541500000,42675.01,42720.00,42586.76,42624.69,614.123,1632541799999,26179530.89995,6980,261.278,11139477.80159,0
1632541800000,42624.70,42691.54,42567.91,42663.06,537.534,1632542099999,22914928.16641,6255,278.488,11873137.93270,0
1632542100000,42665.28,42686.87,42585.34,42588.72,253.938,1632542399999,10827681.74811,4039,106.445,4538995.59701,0
1632542400000,42588.73,42849.34,42588.72,42761.31,1417.319,1632542699999,60604182.48108,14482,899.330,38451722.25661,0
1632542700000,42759.62,42821.87,42710.60,42728.72,686.257,1632542999999,29338507.71774,8220,316.589,13535814.49815,0
1632543000000,42728.73,42747.35,42663.81,42663.81,544.270,1632543299999,23243154.17599,5910,235.058,10039283.29862,0
1632543300000,42663.82,42764.93,42661.99,42721.05,376.968,1632543599999,16105807.83396,5157,202.993,8672427.46768,0
1632543600000,42721.06,42821.86,42714.27,42780.01,557.837,1632543899999,23869535.26413,6886,269.229,11520159.81329,0
1632543900000,42780.00,42817.68,42743.02,42808.86,424.732,1632544199999,18169780.90814,4967,255.783,10942311.70447,0
1632544200000,42808.85,42825.00,42715.00,42782.72,424.214,1632544499999,18140447.68283,5513,200.735,8584578.21122,0
1632544500000,42782.54,42828.87,42733.69,42800.93,436.348,1632544799999,18669461.66978,5039,236.658,10127462.43102,0
1632544800000,42800.92,42817.00,42750.00,42750.00,285.454,1632545099999,12213686.68345,3874,104.890,4488198.87780,0
